puzzle_id,scheduled_date,order,hero,hero_cards,board_cards,street,question_text,answer_options,correct_answers,best_action,best_ev,difficulty,tags,structure,effective_stacks,pot_size_at_decision,flavor_text,in_completions,ev_by_action_json,action_frequencies_json,explanations_json
0c992ddf-399e-4f10-930a-800733bcfb84,2026-01-26,,BTN,9c6c,KcKdTh,flop,You are BTN with 9c6c. What's your play?,Check|Bet 1.6bb|Bet 6.2bb,Bet 1.6bb,Bet 1.6bb,1.7089,2,cash|6max|98bb|srp|flop,6max,97,5,,True,"{""Check"": 1.67530725, ""Bet 1.6bb"": 1.7089335, ""Bet 6.2bb"": 1.5697210000000004, ""Bet 3.8bb"": 1.6645070000000004}","{""Bet 3.8bb"": 0.0033982032909989357, ""Bet 1.6bb"": 0.9962472319602966, ""Check"": 5.155911821930204e-06, ""Bet 6.2bb"": 0.0003494459087960422}","{""Bet 1.6bb"": ""Correct. Small bet leverages your range advantage on a paired board. You can profitably bluff with hands like this that have little equity but benefit from fold equity. BB has to defend wide against this sizing which also puts them in tough spots when we have good hands."", ""Check"": ""No reason to check here. You have no showdown value and checking gives up the opportunity to make BB fold better hands like Ax and low pairs."", ""Bet 6.2bb"": ""Overbetting makes no sense. You don't have the hand strength to justify a large bet, and BB will only continue with hands that crush you. You turn your efficient bluff into a costly one.""}"
1d93e93a-7b97-44be-b22d-2f418e5c16a9,2026-01-26,,BTN,8d8c,Jc9c6s,flop,You are BTN with 8d8c. What's your play?,Fold|Call|Bet 37.8bb,Call,Call,1.2053,2,cash|6max|88bb|srp|flop,6max,88,31.92,,True,"{""Fold"": 0, ""All-in"": -4.8646559999999965, ""Bet 37.8bb"": -0.254331999999998, ""Bet 27.8bb"": 0.8395520000000012, ""Call"": 1.2052840000000007}","{""Fold"": 0, ""Bet 27.8bb"": 0.0058135236613452435, ""Call"": 0.9941846132278442, ""Bet 37.8bb"": 0, ""All-in"": 1.9321325908094877e-06}","{""Fold"": ""Too tight. Yes, 88 is in rough shape on this board. Any J, 9, or overpair has you crushed, and there are flush and straight draws out there. But against a small bet you need to defend wider. You have a pair with some backdoor potential and position. One small bet isn't enough to give up."", ""Bet 37.8bb"": ""No reason to raise. You're not strong enough for value. Better hands call or re-raise you. And it's not a good bluff since you have showdown value. Just call and see what develops."", ""Call"": ""Correct. This might feel uncomfortable since the board hits a lot of SB's 3-bet range, but folding a pair to one small bet is too easy. You have position to control the pot on later streets and can fold to continued aggression when the price gets higher.""}"
1f5165ea-17f2-4d97-a469-3fa6e752b2a2,2026-01-26,,BB,9s8s,JcTc6s,flop,You are BB with 9s8s. What's your play?,Fold|Call|Bet 7.9bb,Call|Bet 7.9bb,Bet 12.0bb,1.9109,2,cash|6max|98bb|srp|flop,6max,97,6.65,,True,"{""Call"": 1.8612882500000003, ""Bet 12.0bb"": 1.9109239999999996, ""Bet 5.8bb"": 1.8592615000000006, ""Bet 7.9bb"": 1.8907849999999993, ""Fold"": 0}","{""Bet 12.0bb"": 0.34683236479759216, ""Fold"": 3.452961664152099e-06, ""Bet 7.9bb"": 0.34875771403312683, ""Bet 5.8bb"": 0.11553151160478592, ""Call"": 0.1888749599456787}","{""Call"": ""Calling is fine because you have a strong draw and position doesn\u2019t matter much here. You can comfortably see a turn and keep UTG\u2019s bluffs in the pot."", ""Fold"": ""Folding is never good here with an open-ended straight draw. You have plenty of equity and several good turn cards and this is a really small bet."", ""Bet 7.9bb"": ""Raising here is strong because your open-ended straight draw has plenty of equity. By raising, you put pressure on UTG\u2019s overcards and weaker hands while building a pot when you improve.""}"
4c376896-9854-4626-8a97-e00151b29b6c,2026-01-26,,BTN,AdTd,Jc9c6s,flop,You are BTN with AdTd. What's your play?,Check|Bet 5.0bb|Bet 18.8bb,Bet 5.0bb,Bet 5.0bb,2.6473,2,cash|6max|93bb|srp|flop,6max,92,15,,True,"{""Check"": 2.6425115, ""Bet 18.8bb"": 1.7241700000000009, ""Bet 11.2bb"": 2.5409249999999997, ""Bet 5.0bb"": 2.6472685}","{""Bet 11.2bb"": 0.002306818962097168, ""Bet 18.8bb"": 0.0003214532625861466, ""Bet 5.0bb"": 0.9973393678665161, ""Check"": 3.2361287594540045e-05}","{""Bet 5.0bb"": ""This is a range bet spot. You c-bet small with your entire range on this texture. Your specific hand doesn't matter much here. You have some equity with an overcard and backdoor straight possibilities, but the real reason to bet is that your entire range should be betting. "", ""Check"": ""This is not a huge mistake but this is a spot where BTN c-bets their entire range for a small size. As the 3-bettor with position and range advantage, you should be putting in a bet here with everything, including this hand. Checking is leaving money on the table by not applying pressure."", ""Bet 18.8bb"": ""Way too large. This sizing only makes sense with a polarized range, not when you're betting everything. You'd be bloating the pot unnecessarily with a marginal hand.""}"
4e47fb2a-0ed2-4284-873c-f59f7112e079,2026-01-26,,SB,KhQh,Jc4c3s,flop,You are SB with KhQh. What's your play?,Check|Bet 18.0bb|Bet 30.0bb,Bet 18.0bb,Bet 18.0bb,3.0434,2,cash|6max|88bb|srp|flop,6max,88,24,,True,"{""Bet 7.9bb"": 2.9350959999999997, ""Check"": 2.960552, ""Bet 30.0bb"": 2.3941000000000017, ""Bet 18.0bb"": 3.0434400000000004}","{""Bet 30.0bb"": 0.04785856977105141, ""Bet 7.9bb"": 0.12343990057706833, ""Check"": 0.02148553915321827, ""Bet 18.0bb"": 0.8072159886360168}","{""Check"": ""Checking gives BTN a free card with hands we want to fold out (A-high, gutshots, low pairs). We rarely check because SB's range is strong and wants to apply pressure immediately."", ""Bet 18.0bb"": ""We want to use a bigger size here because our range has a strong advantage.\nWe have all the overpairs, strong top pair, and high-equity overcard hands, while BTN has more medium pairs and underpairs."", ""Bet 30.0bb"": ""This overbet is a bit unnecessary for a flop that doesn\u2019t dramatically favor SB. We don\u2019t need to polarize this much with a hand like KQ, and it wastes money by risking more than necessary.""}"
51de717c-955b-4337-809f-6600ce9e3db5,2026-01-26,,SB,KhKc,Ac6c5c,flop,You are SB with KhKc. What's your play?,Check|Bet 18.0bb|Bet 30.0bb,Check,Check,20.3222,2,cash|6max|88bb|srp|flop,6max,88,24,,True,"{""Bet 7.9bb"": 20.063136, ""Bet 30.0bb"": 18.22956, ""Check"": 20.32222, ""Bet 18.0bb"": 19.396596000000002}","{""Bet 18.0bb"": 0, ""Bet 30.0bb"": 1.1958439927184372e-07, ""Bet 7.9bb"": 0.0005859635421074927, ""Check"": 0.9994139075279236}","{""Bet 30.0bb"": ""A huge bet is never used here. You\u2019re out of position on a board that the villain can defend with strong hands, so blasting money in with KK performs poorly."", ""Check"": ""Checking is best because this Ace-high, monotone board doesn't favor us that much. Even with a strong hand like KK, you don\u2019t want to build a big pot out of position. Checking keeps your range protected and lets you navigate later streets more safely."", ""Bet 18.0bb"": ""This sizing overplays your hand on a board you don\u2019t range bet. BTN can continue comfortably with Ax and flushes, making a big bet unnecessary risk.""}"
65b5f654-d338-430c-9cfa-85800e65761c,2026-01-26,,BTN,KcJc,QcTc2s3s,turn,You are BTN with KcJc. What's your play?,Check|Bet 2.7bb|Bet 10.4bb,Bet 10.4bb,Bet 2.7bb,6.9834,2,cash|6max|93bb|srp|turn,6max,93,8.3,,True,"{""Bet 10.4bb"": 6.976478, ""Check"": 6.309615, ""Bet 6.2bb"": 6.933861, ""Bet 2.7bb"": 6.9834249999999995}","{""Bet 2.7bb"": 0.10909578949213028, ""Bet 10.4bb"": 0.8118226528167725, ""Bet 6.2bb"": 0.07908158004283905, ""Check"": 0}","{""Bet 2.7bb"": ""After calling flop on Qc\u2013Tc\u20132s, BB\u2019s range is weighted toward one-pair hands and weak draws. When the 3s doesn't improve any hands and completes the backdoor flush, BTN\u2019s range now contains: Very strong hands (sets, two pair, strong Qx/TX with spades) and High-equity bluffs with spades and straight potential. This makes KsJs ideal for a polar, high-pressure sizing."", ""Bet 10.4bb"": ""After calling flop on Qc\u2013Tc\u20132s, BB\u2019s range is weighted toward one-pair hands and weak draws. When the 3s doesn't improve any hands and completes the backdoor flush, BTN\u2019s range now contains: Very strong hands (sets, two pair, strong Qx/TX with spades) and High-equity bluffs with spades and straight potential. This makes KsJs ideal for a polar, high-pressure sizing.\n"", ""Check"": ""After calling flop on Qc\u2013Tc\u20132s, BB\u2019s range is weighted toward one-pair hands and weak draws. When the 3s doesn't improve any hands and completes the backdoor flush, BTN\u2019s range now contains: Very strong hands (sets, two pair, strong Qx/TX with spades) and High-equity bluffs with spades and straight potential. This makes KsJs ideal for a polar, high-pressure sizing.""}"
77ec237c-eeec-411e-acbf-b56e0f11b3ed,2026-01-26,,BB,Ad5d,Kc9d3h6d,turn,You are BB with Ad5d. What's your play?,Fold|Call|Bet 32.2bb,Call,Call,2.0149,2,cash|6max|93bb|srp|turn,6max,93,18.675,,True,"{""Call"": 2.0148600000000005, ""Bet 46.7bb"": 0.6126000000000005, ""Fold"": 0, ""Bet 32.2bb"": 0.7675240000000016, ""Bet 24.9bb"": 0.5817300000000003}","{""Fold"": 0, ""Bet 32.2bb"": 0.0018766113789752126, ""Bet 46.7bb"": 0, ""Bet 24.9bb"": 0.001430197968147695, ""Call"": 0.9966931939125061}","{""Call"": ""Correct. You have the nut flush draw and may already be best against some of BTN's bluffs. Calling lets you realize your equity and keeps the pot controlled. If you hit, you can extract value. If you miss and face more aggression, you can let it go."", ""Fold"": ""Feels reasonable facing a big bet with ace high, but you have too much equity to give up. You have the nut flush draw with 9 outs, and you might even be ahead right now. Villains's bluffs on this line often don't have pairs either. The combination of live outs plus potential showdown value makes this a clear continue."", ""Bet 32.2bb"": ""Unnecessary. You have a great hand to call with. Strong draw plus possible showdown value. Raising turns your hand into a pure bluff and folds out the hands you're beating.""}"
a4142543-2cd9-4028-aef8-1a0ad4056f7d,2026-01-26,,SB,AdJd,6c4d2h,flop,You are SB with AdJd. What's your play?,Check|Bet 7.9bb|Bet 30.0bb,Check|Bet 7.9bb,Bet 18.0bb,7.0187,2,cash|6max|88bb|srp|flop,6max,88,24,,True,"{""Check"": 6.9877645, ""Bet 7.9bb"": 7.004326000000001, ""Bet 18.0bb"": 7.0187360000000005, ""Bet 30.0bb"": 6.916072}","{""Check"": 0.8445891737937927, ""Bet 30.0bb"": 0, ""Bet 18.0bb"": 0.00016362797759938985, ""Bet 7.9bb"": 0.15524722635746002}","{""Bet 30.0bb"": ""Way too large. You're turning a hand with showdown value into a bluff that only gets called by better. Overbet sizing is for polarized ranges - you're neither nutted nor a good bluff candidate here."", ""Check"": ""Correct. This board misses your 3-bet range almost entirely and connects better with BTN's calling range (small pairs, suited connectors). AJ has showdown value with two overcards but no reason to build the pot on a board where you have little advantage. Control the pot and realize your equity."", ""Bet 7.9bb"": ""Acceptable. You can occasionally c-bet for thin value/protection against hands like 87s or 75s that have equity against you. But this should be a low frequency play since you're often just building a pot you don't want to play for stacks.""}"
b0cd83b6-c973-424d-b3a0-5b51dd8c9c35,2026-01-26,,BB,2s2h,AcAdKh,flop,You are BB with 2s2h. What's your play?,Fold|Call|Bet 12.0bb,Call,Call,0.2504,2,cash|6max|98bb|srp|flop,6max,97,6.65,,True,"{""Bet 5.8bb"": 0.20800000000000018, ""Bet 7.9bb"": 0.11536499999999972, ""Bet 12.0bb"": -0.3261060000000011, ""Fold"": -2.5e-07, ""Call"": 0.25041425000000017}","{""Call"": 0.8747920989990234, ""Bet 5.8bb"": 0.0941266342997551, ""Fold"": 0.002187503268942237, ""Bet 7.9bb"": 0.019352637231349945, ""Bet 12.0bb"": 0.009541168808937073}","{""Call"": ""On Ac\u2013Ad\u2013Kh, BB\u2019s range is heavily condensed, but BTN\u2019s 1.6bb c-bet is very wide and contains many hands with little to no showdown value (random broadways, pocket pairs below Kx, and some pure air). Call is correct because 22 retains enough equity versus BTN\u2019s small c-bet range and plays well as a low-investment bluff-catcher."", ""Fold"": ""On Ac\u2013Ad\u2013Kh, BB\u2019s range is heavily condensed, but BTN\u2019s 1.6bb c-bet is very wide and contains many hands with little to no showdown value (random broadways, pocket pairs below Kx, and some pure air). With 22, folding would give up equity too cheaply against this sizing."", ""Bet 12.0bb"": ""On Ac\u2013Ad\u2013Kh, BTN\u2019s range contains a high concentration of very strong hands (Ax, Kx, boats) that continue comfortably versus a raise. Call is correct because 22 retains enough equity versus BTN\u2019s small c-bet range and plays well as a low-investment bluff-catcher.""}"
